"Advertiser name",Category,Manufacturer,"Product code","Product name","Product description","Product affiliate link","Product link","Product picture","Price without VAT","Price with VAT","Price with discount, with VAT","Price with discount, without VAT",Currency,"Free shipping",Availability,"Gift included",Size,Adult,Color,Gender,Material,Condition,"Energy efficiency class","Shipping cost","Additional image links","Additional product types","Google product category",GTIN,MPN,EAN,ISBN,"Expiration date"
ITGalaxy.ro,hdd,WD,WD5000AVDS,"Hard disk WD5000AVDS 500GB SATA-II IntelliPower 32MB AV-GP",,//profitshare.ro/lps/pPv/K79/?redirect=https%3A%2F%2Fwww.itgalaxy.ro%2Fhdd%2Fwd%2Fwd5000avds-500gb-sata-ii-intellipower-32mb-av-gp-49399%2F,https://www.itgalaxy.ro/hdd/wd/wd5000avds-500gb-sata-ii-intellipower-32mb-av-gp-49399/,https://cdni.itgalaxy.ro/images/products/img2/49399/full/hard-disk-western-digital-500gb-sata-ii-intellipower-32mb-av-gp-105257.jpeg,83.18,98.99,,,lei,0,in_stock,0,,,,,,,,,,,,,,,,
ITGalaxy.ro,tablete,OnePlus,OPD2304,"Tableta Pad Go 128GB 8GB RAM LTE Verde + Husa  Folio Case",,//profitshare.ro/lps/pPv/K79/?redirect=https%3A%2F%2Fwww.itgalaxy.ro%2Ftablete%2Foneplus%2Fpad-go-128gb-8gb-ram-lte-verde-plus-husa-folio-case-802812%2F,https://www.itgalaxy.ro/tablete/oneplus/pad-go-128gb-8gb-ram-lte-verde-plus-husa-folio-case-802812/,https://cdni.itgalaxy.ro/images/products/img_202506271509/802812/full/tableta-oneplus-pachet-tableta-oneplus-pad-go-128gb-8gb-ram-lte-verde-plus-husa-oneplus-go-folio-case-verde-2016107.png,1033.61,1229.99,1189.99,999.99,lei,0,in_stock,0,,,,,,,,,,,,,,,,
ITGalaxy.ro,suporti,Hoco,sup/a/Hoc/CA74/n-ar/bl-or,"Suport Auto CA74 Magnetic Universal Argintiu","&nbsp; Suportul auto magnetic HOCO CA74 ofera o solutie eleganta si practica pentru fixarea telefonului in masina. Fabricat din materiale de calitate premium precum ABS, silicon, aliaj metalic si magnet, acesta este durabil si ofera o prindere...",//profitshare.ro/lps/pPv/K79/?redirect=https%3A%2F%2Fwww.itgalaxy.ro%2Fsuport-telefon%2Fhoco%2Fsuport-auto-magnetic-hoco-ca74-universal-argintiu-790703%2F,https://www.itgalaxy.ro/suport-telefon/hoco/suport-auto-magnetic-hoco-ca74-universal-argintiu-790703/,https://cdni.itgalaxy.ro/images/products/img_202502122127/790703/full/suport-auto-hoco-ca74-magnetic-universal-argintiu-1906235.jpeg,36.13,42.99,29.99,25.20,lei,0,in_stock,0,,,,,,,,,,,,,,,,
ITGalaxy.ro,"gratare electrice",Princess,116291001001/RES,"Gratar electric Resigilat Raclette 1200W Negru/Maro","&nbsp; Acest produs este resigilat, in stare perfecta de functionare. Ambalajul este deteriorat, iar produsul prezinta un mic defect&nbsp; mic la tava&nbsp; de mijloc.&nbsp; &nbsp;  &nbsp; Cand ai pofta de un picnic sau un aperitiv rapid pe care...",//profitshare.ro/lps/pPv/K79/?redirect=https%3A%2F%2Fwww.itgalaxy.ro%2Fgratare-electrice%2Fprincess%2Fresigilat-raclette-1200w-negru-maro-834157%2F,https://www.itgalaxy.ro/gratare-electrice/princess/resigilat-raclette-1200w-negru-maro-834157/,https://cdni.itgalaxy.ro/images/products/img_202506271509/834157/full/gratar-electric-princess-resigilat-raclette-1200w-negru-maro-2012695.png,378.14,449.99,199.99,168.06,lei,0,in_stock,0,,,,,,,,,,,,,,,,
ITGalaxy.ro,"Redresoare auto",Telwin,829382,"Redresor auto DYNAMIC 420 START 230V Rosu",,//profitshare.ro/lps/pPv/K79/?redirect=https%3A%2F%2Fwww.itgalaxy.ro%2Fredresoare-auto%2Ftelwin%2Fdynamic-420-start-230v-rosu-167014%2F,https://www.itgalaxy.ro/redresoare-auto/telwin/dynamic-420-start-230v-rosu-167014/,https://cdni.itgalaxy.ro/images/products/img_201705041622/167014/full/redresor-auto-telwin-dynamic-420-start-230v-12-24v-427195.jpeg,1764.7,2099.99,1916,1610.08,lei,0,in_stock,0,,,,,,,,,,,,,,,,
ITGalaxy.ro,"accesorii smartwatch",OEM,"Set 2 Bratari Gri Roz/RES","Set 2 Bratari Resigilate Pentru  Samsung / Amazfit / Huawei 22mm Gri/Roz","&nbsp; Acest produs este resigilat, in stare buna, avand doar ambalajul deteriorat. &nbsp;  &nbsp; Compatibilitate: *samsung galaxy watch 3 45mm *Samsung Galaxy Watch 46mm *Samsung Gear S3 Classic *Samsung Gear S3 Frontier &nbsp; *Amazfit Pace...",//profitshare.ro/lps/pPv/K79/?redirect=https%3A%2F%2Fwww.itgalaxy.ro%2Faccesorii-smartwatch%2Foem%2Fresigilate-samsung-amazfit-huawei-22mm-gri-roz-833708%2F,https://www.itgalaxy.ro/accesorii-smartwatch/oem/resigilate-samsung-amazfit-huawei-22mm-gri-roz-833708/,https://cdni.itgalaxy.ro/images/products/img_202506271509/833708/full/set-2-bratari-oem-resigilate-pentru-samsung-amazfit-huawei-22mm-gri-roz-2011711.png,84.03,99.99,29.99,25.20,lei,0,in_stock,0,,,,,,,,,,,,,,,,
ITGalaxy.ro,"Accesorii scule si unelte",Bosch,2609256239,"Banda Abraziva Lemn 2609256239  Pentru Slefuitor Black&Decker Powerfile 13 x 455mm 3 Bucati",,//profitshare.ro/lps/pPv/K79/?redirect=https%3A%2F%2Fwww.itgalaxy.ro%2Faccesorii-scule-si-unelte%2Fbosch%2F2609256239-slefuitor-black-decker-powerfile-13-x-455mm-3-bucati-833491%2F,https://www.itgalaxy.ro/accesorii-scule-si-unelte/bosch/2609256239-slefuitor-black-decker-powerfile-13-x-455mm-3-bucati-833491/,https://cdni.itgalaxy.ro/images/products/img_202506271509/833491/full/banda-abraziva-lemn-bosch-2609256239-pentru-pila-black-decker-powerfile-13-x-455mm-3-bucati-2011089.png,84.03,99.99,29.99,25.20,lei,0,in_stock,0,,,,,,,,,,,,,,,,
ITGalaxy.ro,"placi de baza",MSI,7E49-001R/RES,"Placa de baza Resigilat AMD AM5 MPG X870E CARBON WIFI","&nbsp; Produsul a fost montat si testat. ",//profitshare.ro/lps/pPv/K79/?redirect=https%3A%2F%2Fwww.itgalaxy.ro%2Fplaci-de-baza%2Fmsi%2Famd-am5-mpg-x870e-carbon-wifi-resigilat-833488%2F,https://www.itgalaxy.ro/placi-de-baza/msi/amd-am5-mpg-x870e-carbon-wifi-resigilat-833488/,https://cdni.itgalaxy.ro/images/products/img_202506271509/833488/full/placa-de-baza-msi-resigilat-amd-am5-mpg-x870e-carbon-wifi-2011079.png,1800.83,2142.99,,,lei,0,in_stock,0,,,,,,,,,,,,,,,,
ITGalaxy.ro,"prize si prelungitoare",Axing,"SSD 4-00 SAT 5","Priza Cablu Antena SSD 4-00 CATV/SAT/SAT Alb","&nbsp; Această mufă de antenă dublă este utilizată pentru a conecta un receptor dublu sau 2 receptoare satelit separate. Pentru aceasta, cutia de antenă este conectată la 2 cabluri folosind multiswitch-ul (sau LNB).&nbsp; Carcasa este compatibilă...",//profitshare.ro/lps/pPv/K79/?redirect=https%3A%2F%2Fwww.itgalaxy.ro%2Fprize-si-prelungitoare%2Faxing%2Fssd-4-00-catv-sat-sat-alb-833482%2F,https://www.itgalaxy.ro/prize-si-prelungitoare/axing/ssd-4-00-catv-sat-sat-alb-833482/,https://cdni.itgalaxy.ro/images/products/img_202506271509/833482/full/priza-cablu-antena-axing-ssd-4-00-catv-sat-sat-47-2400mhz-alb-2011066.png,84.03,99.99,29.99,25.20,lei,0,in_stock,0,,,,,,,,,,,,,,,,
ITGalaxy.ro,Electrocasnice,OEM,"Breloc Inel Deget","Breloc Inel Deget Pentru Telefon/ Umbrela/ Camera Foto Mov","&nbsp;  ",//profitshare.ro/lps/pPv/K79/?redirect=https%3A%2F%2Fwww.itgalaxy.ro%2Faccesorii-telefon%2Foem%2Ftelefon-umbrela-camera-foto-mov-833380%2F,https://www.itgalaxy.ro/accesorii-telefon/oem/telefon-umbrela-camera-foto-mov-833380/,https://cdni.itgalaxy.ro/images/products/img_202506271509/833380/full/breloc-inel-deget-oem-pentru-telefon-umbrela-camera-foto-mov-2010647.png,42.01,49.99,10,8.40,lei,0,in_stock,0,,,,,,,,,,,,,,,,
ITGalaxy.ro,"cabluri de date",Tizi,EQ21270-FBA,"Cablu Incarcare Flip & Schlingel Micro USB Negru",,//profitshare.ro/lps/pPv/K79/?redirect=https%3A%2F%2Fwww.itgalaxy.ro%2Fcabluri-de-date%2Ftizi%2Fflip-schlingel-micro-usb-negru-833389%2F,https://www.itgalaxy.ro/cabluri-de-date/tizi/flip-schlingel-micro-usb-negru-833389/,https://cdni.itgalaxy.ro/images/products/img_202506271509/833389/full/cablu-incarcare-tizi-flip-schlingel-micro-usb-negru-2010661.png,84.03,99.99,29.99,25.20,lei,0,in_stock,0,,,,,,,,,,,,,,,,
